,MotieID,date,Indiener,Indiener_party,Medeindiener_1,Medeindiener_party_1,Medeindiener_2,Medeindiener_party_2,Medeindiener_3,Medeindiener_party_3,Medeindiener_4,Medeindiener_party_4,Medeindiener_5,Medeindiener_party_5,Medeindiener_6,Medeindiener_party_6,Medeindiener_7,Medeindiener_party_7,Medeindiener_8,Medeindiener_party_8,Medeindiener_9,Medeindiener_party_9,Medeindiener_10,Medeindiener_party_10,Medeindiener_11,Medeindiener_party_11,Medeindiener_12,Medeindiener_party_12,Medeindiener_13,Medeindiener_party_13
200,21501-20-1416,7 maart 2019,Pieter Omtzigt, Christen-Democratisch Appèl,M.J. van Rooijen, 50PLUS,Eppo Bruins, ChristenUnie,,,,,,,,,,,,,,,,,,,,,,
201,21501-20-1419,21 maart 2019,Kees Verhoeven, Democraten 66,Renske Leijten, Socialistische Partij,Bram van Ojik, GroenLinks,Pieter Omtzigt, Christen-Democratisch Appèl,Lodewijk Asscher, Partij van de Arbeid,,,,,,,,,,,,,,,,,,
202,21501-20-1420,21 maart 2019,Pieter Omtzigt, Christen-Democratisch Appèl,Kees Verhoeven, Democraten 66,,,,,,,,,,,,,,,,,,,,,,,,
203,21501-20-1421,21 maart 2019,Pieter Omtzigt, Christen-Democratisch Appèl,,,,,,,,,,,,,,,,,,,,,,,,,,
204,21501-20-1422,21 maart 2019,Stieneke van der Graaf, ChristenUnie,Pieter Omtzigt, Christen-Democratisch Appèl,,,,,,,,,,,,,,,,,,,,,,,,
205,21501-20-1423,26 maart 2019,Léon de Jong, Partij voor de Vrijheid,Vicky Maeijer, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,
206,21501-20-1424,26 maart 2019,Jasper van Dijk, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,,,
207,21501-20-1425,26 maart 2019,Dennis Wiersma, Volkspartij voor Vrijheid en Democratie,Steven van Weyenberg, Democraten 66,Pieter Heerma, Christen-Democratisch Appèl,Gijs van Dijk, Partij van de Arbeid,Corrie van Brenk, 50PLUS,Eppo Bruins, ChristenUnie,Paul Smeulders, GroenLinks,Léon de Jong, Partij voor de Vrijheid,Chris Stoffer, Staatkundig Gereformeerde Partij,Jasper van Dijk, Socialistische Partij,,,,,,,,
208,21501-20-1426,26 maart 2019,Chris Stoffer, Staatkundig Gereformeerde Partij,Theo Hiddema, Forum voor Democratie,,,,,,,,,,,,,,,,,,,,,,,,
209,21501-20-1427,26 maart 2019,Pieter Heerma, Christen-Democratisch Appèl,Dennis Wiersma, Volkspartij voor Vrijheid en Democratie,,,,,,,,,,,,,,,,,,,,,,,,
